iter	Passed	Remaining
801	7560	1866
802	7568	1856
803	7576	1847
804	7584	1837
805	7593	1827
806	7601	1817
807	7609	1808
808	7618	1798
809	7627	1789
810	7636	1779
811	7645	1770
812	7653	1760
813	7662	1751
814	7672	1741
815	7680	1731
816	7688	1722
817	7697	1712
818	7706	1703
819	7714	1693
820	7722	1683
821	7730	1674
822	7739	1664
823	7746	1654
824	7754	1644
825	7762	1635
826	7770	1625
827	7778	1615
828	7787	1606
829	7795	1596
830	7803	1586
831	7811	1577
832	7819	1567
833	7827	1558
834	7835	1548
835	7844	1538
836	7852	1529
837	7860	1519
838	7869	1510
839	7877	1500
840	7885	1490
841	7893	1481
842	7902	1471
843	7909	1462
844	7918	1452
845	7925	1442
846	7934	1433
847	7941	1423
848	7950	1414
849	7958	1404
850	7966	1394
851	7974	1385
852	7983	1375
853	7991	1366
854	7999	1356
855	8007	1346
856	8015	1337
857	8022	1327
858	8030	1318
859	8038	1308
860	8046	1299
861	8055	1289
862	8063	1280
863	8072	1270
864	8081	1261
865	8089	1251
866	8098	1242
867	8106	1232
868	8116	1223
869	8124	1213
870	8132	1204
871	8140	1194
872	8149	1185
873	8157	1175
874	8166	1166
875	8175	1157
876	8183	1147
877	8192	1138
878	8201	1129
879	8211	1119
880	8221	1110
881	8231	1101
882	8243	1092
883	8253	1083
884	8264	1073
885	8273	1064
886	8283	1055
887	8296	1046
888	8310	1037
889	8321	1028
890	8331	1019
891	8343	1010
892	8353	1000
893	8364	991
894	8374	982
895	8385	973
896	8397	964
897	8408	955
898	8418	945
899	8429	936
900	8437	927
901	8448	917
902	8458	908
903	8466	899
904	8476	889
905	8484	880
906	8493	870
907	8501	861
908	8509	851
909	8517	842
910	8526	832
911	8534	823
912	8541	813
913	8549	804
914	8558	795
915	8567	785
916	8575	776
917	8583	766
918	8592	757
919	8601	747
920	8609	738
921	8618	729
922	8626	719
923	8634	710
924	8642	700
925	8651	691
926	8659	681
927	8668	672
928	8676	663
929	8685	653
930	8693	644
931	8704	635
932	8715	625
933	8724	616
934	8734	607
935	8743	597
936	8753	588
937	8763	579
938	8771	569
939	8781	560
940	8790	551
941	8800	541
942	8809	532
943	8818	523
944	8826	513
945	8835	504
946	8843	494
947	8851	485
948	8859	476
949	8867	466
950	8876	457
951	8884	447
952	8892	438
953	8900	429
954	8908	419
955	8916	410
956	8924	400
957	8932	391
958	8940	382
959	8948	372
960	8956	363
961	8964	354
962	8972	344
963	8980	335
964	8988	325
965	8996	316
966	9004	307
967	9012	297
968	9020	288
969	9028	279
970	9036	269
971	9044	260
972	9052	251
973	9062	241
974	9070	232
975	9079	223
976	9087	213
977	9096	204
978	9105	195
979	9113	185
980	9122	176
981	9130	167
982	9138	158
983	9146	148
984	9156	139
985	9164	130
986	9173	120
987	9182	111
988	9192	102
989	9200	92
990	9210	83
991	9219	74
992	9228	65
993	9239	55
994	9247	46
995	9257	37
996	9265	27
997	9274	18
998	9283	9
999	9292	0
